id	pub_home_div	pub_draw_div	pub_away_div
1332	2.16	2.75	3.10
1337	3.80	3.40	1.69
1345	2.95	2.44	2.50
1350	3.65	2.65	2.01
1355	2.75	3.80	1.91
1363	1.97	3.50	2.80
1371	2.70	2.65	2.49
1376	2.20	2.40	3.60
1381	2.30	3.35	2.40
1386	2.28	3.40	2.40
1391	2.50	3.35	2.22
1396	2.14	3.35	2.60
1401	2.03	3.35	2.80
1406	2.07	3.30	2.75
1411	3.05	3.40	1.90
1416	2.70	3.20	2.14
1421	2.60	3.30	2.17
1426	2.80	3.50	1.97
1431	2.70	3.35	2.08
1436	2.33	3.40	2.35
1441	2.25	3.20	2.55
1446	1.68	3.65	3.55
1451	3.30	3.35	1.83
1459	1.68	3.65	3.55
1464	3.40	3.45	1.77
1472	3.90	3.80	1.59
1477	2.45	3.20	2.33
1482	2.24	3.40	2.45
1487	2.07	3.45	2.65
1492	2.70	3.20	2.14
1497	2.35	3.40	2.33
1502	2.65	3.20	2.18
1507	1.72	3.70	3.35
1515	4.10	2.45	2.01
1520	2.80	2.45	2.60
1525	3.70	2.80	1.92
1530	3.20	2.55	2.25
1535	2.34	2.65	2.90
1540	1.75	3.70	3.25
1548	2.33	3.30	2.40
1556	2.35	3.35	2.35
1564	1.99	3.30	2.90
1572	2.60	3.40	2.12
1580	2.14	2.75	3.15
1585	3.95	3.45	1.65
1590	2.65	3.35	2.11
1595	2.35	3.25	2.40
1600	1.95	3.35	2.95
1605	2.28	3.30	2.45
1610	1.88	3.40	3.10
1615	2.35	3.40	2.33
1620	2.04	3.30	2.80
1625	3.50	3.40	1.76
1630	2.40	3.30	2.33
1635	2.85	3.30	2.02
1640	1.99	3.25	2.95
1645	2.22	3.35	2.50
1650	2.65	3.20	2.18
1655	1.61	3.95	3.65
1663	2.04	3.30	2.80
1668	3.50	3.40	1.76
1673	2.40	3.30	2.33
1678	2.85	3.30	2.02
1683	1.99	3.25	2.95
1688	2.22	3.35	2.50
1693	2.65	3.20	2.18
1698	1.55	4.15	3.80
1706	3.75	2.55	2.04
1711	2.42	2.60	2.85
1716	4.25	2.90	1.76
1721	3.45	2.85	1.97
1726	2.10	2.85	3.10
1731	1.81	3.45	3.25
1739	2.45	3.60	2.16
1747	3.70	3.60	1.66
1755	1.67	3.70	3.55
1763	2.54	2.75	2.55
1768	2.65	3.05	2.25
1773	2.33	3.40	2.35
1778	2.33	3.20	2.45
1783	2.40	3.30	2.33
1788	2.95	3.30	1.97
1793	1.89	3.55	2.95
1798	2.26	3.35	2.45
1803	1.94	3.45	2.90
1808	2.33	3.30	2.40
1813	2.33	3.30	2.40
1818	2.40	3.25	2.35
1823	3.10	3.35	1.89
1828	2.07	3.30	2.75
1833	1.98	3.40	2.85
1841	1.59	3.90	3.80
1846	3.40	2.60	2.12
1851	2.17	2.70	3.15
1856	2.30	2.75	2.85
1861	2.00	3.35	2.85
1869	2.75	3.35	2.05
1877	2.50	3.75	2.07
1885	2.50	3.35	2.22
1893	2.70	3.35	2.08
1898	2.04	3.30	2.80
1903	2.06	3.40	2.70
1908	2.26	3.35	2.45
1913	2.75	3.30	2.07
1918	2.50	3.35	2.22
1923	3.30	3.30	1.84
1928	2.10	3.30	2.70
1933	3.50	3.45	1.74
1938	2.80	3.30	2.04
1943	2.18	3.20	2.65
1948	2.35	3.35	2.35
1953	2.40	3.30	2.33
1961	3.50	3.45	1.74
1966	2.80	3.30	2.04
1971	2.12	3.25	2.70
1976	2.35	3.35	2.35
1981	2.40	3.30	2.33
1989	2.24	2.70	3.00
1994	2.45	2.60	2.80
1999	2.15	2.90	2.95
2004	2.60	2.75	2.49
2009	1.92	2.95	3.45
2014	2.95	2.65	2.31
2019	2.40	3.30	2.33
2024	3.35	3.50	1.77
2029	2.00	3.50	2.75
2034	2.40	3.35	2.30
2039	2.55	3.20	2.25
2044	2.65	3.35	2.11
2049	2.22	3.25	2.55
2054	2.03	3.50	2.70
2059	3.10	3.25	1.93
2064	2.18	3.45	2.50
2069	3.55	3.35	1.76
2074	2.55	3.20	2.25
2079	1.77	3.60	3.25
2084	1.90	3.60	2.90
2092	2.53	2.65	2.65
2097	2.50	2.80	2.55
2102	3.10	2.65	2.22
2107	2.20	2.65	3.15
2112	2.33	2.75	2.80
2117	1.93	3.05	3.30
2122	2.33	3.30	2.40
2127	1.84	3.60	3.05
2132	2.45	3.35	2.26
2137	3.95	3.50	1.64
2142	2.08	3.35	2.70
2147	2.50	3.15	2.32
2152	2.18	3.35	2.55
2157	2.22	3.25	2.55
2162	3.10	3.20	1.94
2167	2.40	3.30	2.33
2172	2.03	3.40	2.75
2177	2.70	3.40	2.06
2182	2.70	3.30	2.10
2187	2.50	3.25	2.26
2192	1.59	3.85	3.85
2200	2.41	2.75	2.70
2205	2.42	2.60	2.85
2210	1.86	3.10	3.45
2215	3.15	2.70	2.17
2220	3.35	2.65	2.11
2225	1.84	2.80	4.00
2230	2.55	3.20	2.25
2235	2.65	3.35	2.11
2240	2.06	3.40	2.70
2245	2.33	3.20	2.45
2250	2.65	3.30	2.13
2255	2.40	3.30	2.33
2260	2.45	3.20	2.33
2265	2.85	3.35	2.00
2270	2.33	3.30	2.40
2275	2.33	3.30	2.40
2280	2.33	3.30	2.40
2285	2.40	3.25	2.35
2290	2.05	3.35	2.75
